company,year,quarter,sentiment_score,price_return,aligned
BKNG,2020,Q2,-0.3785031199455261,0.008554177649291367,False
BKNG,2019,Q4,0.10942856470743816,-0.24015215892329758,True
BKNG,2021,Q1,0.1847480833530426,-0.08825739272550673,True
BKNG,2022,Q4,0.8825110367366246,0.06026607735183436,True
BKNG,2018,Q2,0.8201500943728856,-0.03122170357298723,False
BKNG,2020,Q3,-0.5671793520450592,0.26522419998011293,False
BKNG,2023,Q4,0.7271134932835897,0.7897581669645054,True
BKNG,2019,Q2,0.21182867884635925,0.024141155678445027,False
BKNG,2018,Q1,0.14187690615653992,-0.0018563389051245592,True
BKNG,2021,Q3,0.0004273255666097005,-0.024410931709962242,True
BKNG,2019,Q1,0.0704146424929301,0.06564227531113162,False
BKNG,2022,Q3,0.5166432791286044,0.20033597947645898,True
BKNG,2020,Q4,-0.1435832462527535,0.12547618505748967,False
BKNG,2024,Q2,0.7352647827221797,0.09603166434299296,True
BKNG,2022,Q2,0.7406511108080546,-0.05037407728025481,False
BKNG,2019,Q3,0.08388497432072957,0.03834115998098698,False
BKNG,2018,Q3,0.6225495561957359,-0.13743128372324448,False
BKNG,2023,Q2,0.8988357409834862,0.13347597713347806,True
BKNG,2021,Q4,0.4196856617927551,0.07574110870222782,False
BKNG,2022,Q1,0.2558475360274315,-0.23544781600103065,True
BKNG,2021,Q2,0.14006227254867554,0.07592693827233866,False
BKNG,2024,Q1,0.8142721404631933,0.11257024562441563,True
BKNG,2020,Q1,0.04499880834059282,0.25289598975665956,False
BKNG,2023,Q3,0.6623942393522996,0.1465723647338438,True
BKNG,2023,Q1,0.8013072826645591,-0.0034820242675140615,False
Allstate,2020,Q2,0.7770257762500218,-0.016165984158367133,False
Allstate,2018,Q1,0.5953445434570312,-0.021155935501426103,False
Allstate,2019,Q3,0.7777136166890463,0.04757326032801076,True
Allstate,2022,Q4,0.6289040283723311,-0.046219206432465854,False
Allstate,2024,Q2,0.6823553707864549,0.1790494651260283,True
Allstate,2024,Q1,0.8363385688174855,-0.06962197681195836,False
Allstate,2019,Q1,0.25690383712450665,0.07499370830392324,False
Allstate,2017,Q4,0.7075529640371149,0.3061470585057677,True
Allstate,2019,Q4,0.5115172028541565,0.18835173316836878,True
Allstate,2020,Q1,0.06521268401827131,0.11076658143052029,False
Allstate,2021,Q3,0.7899976422389349,-0.07208044123022686,False
Allstate,2018,Q2,0.5116583108901978,0.08163499776590687,True
Allstate,2023,Q2,0.8474849354137074,0.016634993010436288,True
Allstate,2021,Q2,0.6643067598342896,-0.020284947419074134,False
Allstate,2021,Q4,0.816187555139715,0.3428850937273392,True
Allstate,2023,Q1,0.7114999070763588,-0.03726343810967141,False
Allstate,2019,Q2,0.8150881614003863,0.05050005952005765,True
Allstate,2020,Q3,0.3957271985709667,0.17835189752314015,False
Allstate,2022,Q2,0.21471067667007446,-0.028309798644056514,True
Allstate,2018,Q3,0.6038927622139454,-0.16324626332406444,False
Allstate,2021,Q1,0.8072023093700409,0.12328017013923484,True
Allstate,2020,Q4,0.815947969754537,0.06841286709490807,True
Allstate,2023,Q3,0.7282956676049666,0.2703918580637721,True
Allstate,2023,Q4,0.6194931467374166,0.31205686222586004,True
Allstate,2022,Q1,0.6173220202326775,-0.09548200699531431,False
Allstate,2018,Q4,0.4432010310036795,-0.0525610712966624,True
Allstate,2022,Q3,0.2597257169810208,0.0638762359533487,False
Lululemon,2022,Q3,0.6326234117150307,0.09681615264764798,True
Lululemon,2021,Q1,0.7877184216465268,0.21785629502196655,True
Lululemon,2019,Q2,0.7948723868890242,0.05429288379077338,True
Lululemon,2021,Q3,0.7143833041191101,-0.006677112660100006,False
Lululemon,2024,Q1,0.7361795678734779,-0.2245586637040638,False
Lululemon,2022,Q4,0.7386610828913175,-0.07603984262139352,False
Lululemon,2018,Q1,0.7625012191442343,0.4306176610130581,True
Lululemon,2024,Q2,0.826684479202543,-0.07391843057523155,False
Lululemon,2019,Q3,0.8045835928483442,0.19793450052628528,True
Lululemon,2023,Q1,0.6229350467522939,0.007784474460134149,True
Lululemon,2022,Q2,0.7084378711879253,0.1398739298918386,True
Lululemon,2024,Q3,0.6320000325932222,0.44135849201824207,True
Lululemon,2019,Q4,0.7192409123693194,0.5722740562667699,True
Lululemon,2020,Q3,0.7917871922254562,0.0285295743573949,True
Lululemon,2019,Q1,0.8015174746513367,0.08875061661565192,True
Lululemon,2020,Q2,0.6825187977622537,0.048765532203550725,True
Lululemon,2020,Q4,0.691130217578676,0.3584525697253516,True
Lululemon,2018,Q3,0.8534700804286532,-0.24894826785273136,False
Lululemon,2021,Q4,0.7078133523464203,0.057575813363257226,True
Lululemon,2025,Q2,0.49520669877529144,-0.26929665397258895,True
Lululemon,2018,Q4,0.6684391479939222,1.0563432061339986,True
Lululemon,2018,Q2,0.8020001128315926,0.2949474111102295,True
Lululemon,2025,Q1,0.6090765655040741,-0.15953223842715572,False
Lululemon,2020,Q1,0.6549413616840656,0.604087226722156,True
Lululemon,2021,Q2,0.6809907051233145,0.12626633953043837,True
Lululemon,2017,Q4,0.8150429844856262,0.33313395334005996,True
Lululemon,2022,Q1,0.6529759306174058,-0.22986063273975327,False
JPM,2024,Q3,0.20445226430892943,0.1629955105155373,False
JPM,2020,Q2,-0.7977971136569977,0.03237336948776189,False
JPM,2020,Q3,0.7668889760971069,0.3047668976879553,True
JPM,2022,Q2,-0.6945138573646545,-0.06094635201790154,True
JPM,2021,Q3,0.017237186431884766,-0.04604222703950305,True
JPM,2023,Q4,0.4872763686709934,0.5359869819928207,False
JPM,2017,Q4,0.3424511104822159,0.2961729710381255,False
JPM,2019,Q2,0.5741031084741864,0.04286942890272047,True
JPM,2019,Q3,0,0.20935119589575804,False
JPM,2024,Q1,-0.1620885133743286,0.022619059498284494,False
JPM,2024,Q2,0.650832881530126,0.030257482368110804,True
JPM,2018,Q3,-0.27561859289805096,-0.1408982805922498,True
JPM,2021,Q1,0,0.00870374203802712,False
JPM,2019,Q4,0,-0.022875109139312587,True
JPM,2022,Q1,0,-0.14156616055551127,True
JPM,2023,Q3,0.3878389000892639,0.1918700029356404,False
JPM,2021,Q4,-0.4874354302883148,0.15144869348202905,False
JPM,2020,Q1,-0.9365521669387817,0.11387406263820155,False
JPM,2023,Q2,0.5509487837553024,-0.004051944231161412,False
JPM,2021,Q2,0,0.06255633107555278,False
JPM,2019,Q1,0.5423377056916555,0.07660063454243747,True
JPM,2022,Q4,-0.08810879077230181,-0.17257397267797556,True
JPM,2018,Q2,0.6659325957298279,0.07968393385203044,True
JPM,2018,Q4,0.19885058204332987,-0.03297687981404093,True
JPM,2018,Q1,0.6000346938769022,-0.0289438262662924,False
JPM,2023,Q1,-0.22066383361816405,0.11059941122815985,False
JPM,2022,Q3,-0.01378512978553772,0.2559155215234264,False
JPM,2020,Q4,0,0.1428366569930011,False
Accenture,2024,Q2,0.4555949966112773,0.16091118155520046,False
Accenture,2023,Q4,0.6525203958153725,0.3076395051698851,True
Accenture,2018,Q3,0.8403152748942375,-0.18680203773842494,False
Accenture,2019,Q3,0.7460719976160262,0.1156259013492236,True
Accenture,2019,Q1,0.8142429788907369,0.05660363342952737,True
Accenture,2024,Q4,0.8160317672623528,-0.10487610742287605,False
Accenture,2020,Q2,0.5887123942375183,0.048049691732190834,True
Accenture,2022,Q1,0.7812650601069132,-0.17612972199219687,False
Accenture,2023,Q1,0.5743466764688492,0.08291642244031605,True
Accenture,2021,Q1,0.6333692347009977,0.06828834876228056,True
Accenture,2020,Q4,0.3735918781974099,0.35136251596550083,False
Accenture,2022,Q3,0.7711786372320992,0.011841147983132284,True
Accenture,2021,Q3,0.7371380209922791,0.27765378693511744,True
Accenture,2021,Q4,0.7699585631489754,0.33951434104451916,True
Accenture,2024,Q3,0.6197737663984298,0.005525200848192417,True
Accenture,2023,Q2,0.4274149669541253,-0.008828561907246495,True
Accenture,2022,Q4,0.7746897265315056,-0.29351407067020874,False
Accenture,2022,Q2,0.7084280773997307,-0.0764699319721278,False
Accenture,2018,Q1,0.8515171334147453,0.11524268799865192,True
Accenture,2023,Q3,0.6372386574745178,0.14307859986566457,True
Accenture,2018,Q2,0.6770823172160557,0.042700698762989285,True
Accenture,2018,Q4,0.9015983939170837,0.16482191584685454,True
Accenture,2020,Q3,0.6102842158741422,0.14818591295622308,True
Accenture,2019,Q4,0.8520916476845741,0.22787632515075704,True
Accenture,2024,Q1,0.784315439787778,-0.10197012118440023,False
Accenture,2019,Q2,0.88318932056427,0.02413433211613563,True
Accenture,2020,Q1,0.7393084601922468,0.3814317059880564,True
Accenture,2021,Q2,0.7617634336153666,0.08147761647563176,True
Walmart,2024,Q1,0.6148623172193766,0.13240606958722098,True
Walmart,2025,Q2,0.8284912163561041,0.051717939282587194,True
Walmart,2022,Q4,0.8252104967832565,0.027073779092021476,True
Walmart,2023,Q3,0.5767973525957628,-0.011645777838875444,False
Walmart,2023,Q4,0.6703059077262878,0.2805532716870021,True
Walmart,2018,Q4,0.654432475566864,0.018177547152354923,True
Walmart,2018,Q1,0.7287639528512955,0.007475920074867693,True
Walmart,2019,Q3,0.6696555018424988,0.01769653956100459,True
Walmart,2019,Q4,0.7502561857302984,0.26465538647522235,True
Walmart,2024,Q3,0.6734477616846561,0.11690253735221824,True
Walmart,2022,Q1,0.7626507495130811,-0.18970143198206943,False
Walmart,2021,Q1,0.3371454864740372,0.01636335857404231,False
Walmart,2023,Q2,0.47273245240960804,0.014529338580518516,False
